Dấu thời gian,1. EVALUATION SESSION DETAILS,DATE,SIM REGISTRATION,MODULE,TRAINEE RANK,"EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment reflected VNA operational standards]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment criteria were clearly briefed and debriefed]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Competencies were evaluated fairly (not task-based)]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Scenarios enabled demonstration of overall competency]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Operational and environmental conditions were appropriate and]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Representative of real operations]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [The examiner allowed me to perform without unnecessary interventions]","EVALUATION COMMENTS:
Was the evaluation realistic, fair, and representative of operational performance?
If not, explain what reduced assessment validity in the next question.",Explain what reduced assessment validity:,DATE,SIM REGISTRATION:,MODULE:,TRAINEE RANK:,"TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Training effectively address any identified weaknesses identified during Day 1 evaluation]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Decision-making (PSD) and Situation Awareness (SAW) improved compared to Day 1]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Workload management (WLM) and CRM (COM/LTW) were effectively developed]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Automation and manual flight path management (FPA/FPM) improved]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Instructor used facilitation and coaching (not directing)]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Debrief effectively linked performance gaps to operational improvement]","INSTRUCTION COMMENTS:
What would have improved your learning during this session (e.g. scenario design, instructor method, level of challenge)?",TRAINING SYSTEM RISK:,PRIMARY THREAT,FREQUENCY,MANAGED,"4. TRAINEE REFLECTION:
Did the SIM sessions improve your competencies for future similar operational situation(s)?","5. SUMMARY:
What should VNA CHANGE to improve checking/training effectiveness and operational safety?"
22/05/2026 9:48:26,OPC Satisfactory,20/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/05/2026,VN-001,4B,FO,HIGH,MED,HIGH,MED,HIGH,HIGH,A little bit more coaching from instructor,More airport variations that closerly reflect operation,TECHNICAL,OCCASIONAL,YES,Yes,
22/05/2026 10:59:55,VNA STANDARD SIM CHECK,13/04/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,14/04/2026,VN-018,3B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,TECHNICAL,RARE,YES,Yes,None for now
22/05/2026 11:44:51,4AB,03/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NO,,04/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,,TECHNICAL,RARE,YES,Yes,No
22/05/2026 12:32:49,Recurent simulator,17/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Instructor was helpful and carefully briefed for sim session,,ENVIRONMENT,FREQUENT,YES,Yes,
22/05/2026 13:01:16,STOLBTSOV NIKOLAI,04/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,05/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NIL,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,NIL
22/05/2026 14:25:05,RECCURRENT ,03/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Instructor helped me in improving Situation Awareness , Decision Making and Manual Handling skills during the session ",,TECHNICAL,OCCASIONAL,YES,yes,Very effective for now
22/05/2026 14:51:08,recurrent,07/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,08/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,nil,,TECHNICAL,RARE,YES,nil,nil
22/05/2026 20:06:03,4A,03/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Level of challenge and handling, knowledge improved ",,ENVIRONMENT,RARE,YES,Yes absolutely,Its good for now 
22/05/2026 20:43:29,SIM RECURRENT 4A LPC,20/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Instructor method, also scenario design",,TECHNICAL,RARE,YES,Yes it did improve me a lot,
22/05/2026 21:31:35,3A,22/03/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/03/2026,VN-018,3B,FO,MED,HIGH,HIGH,HIGH,HIGH,MED,increase level of challange. ,"Scenario unrealistic, Insufficient challenge, Simulator limitation (faults, equipment, supplies)",TECHNICAL,OCCASIONAL,YES,yes,improve equipment and consistency of instructors 
22/05/2026 21:45:03,tốt,22/10/2025,VN-018,2A,FO,HIGH,HIGH,HIGH,MED,HIGH,MED,HIGH,YES,,22/10/2026,VN-018,2B,FO,MED,HIGH,HIGH,HIGH,HIGH,HIGH, increase level of challenge,"Scenario unrealistic, Simulator limitation (faults, equipment, supplies), Simulator scheduling",ENVIRONMENT,OCCASIONAL,YES,yes,improve consistency of instructors 
22/05/2026 21:50:38,very good,26/03/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,27/03/2026,VN-018,3B,FO,MED,MED,MED,MED,HIGH,MED,increase level of challenge ,"Scenario unrealistic, Insufficient challenge",ENVIRONMENT,OCCASIONAL,YES,yes,improve consistency of instructors 
23/05/2026 10:16:20,4AB,21/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design to the next level. Understanding operation in long range flights especially the complexity of MEL items which could potentially have an impact on fuel consumption and flight level. Pilots need to foresee upcoming issues in order to co-operate effectively with ATC and companies,,TECHNICAL,FREQUENT,YES,Yes,Doing sim more frequently
23/05/2026 12:06:57,"LPC,IR",21/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Excellent instructor. In depth explanation of operational situations and very thankful to the examiners and instructors for improving our level of ability in real life situations. ,,OPERATIONAL,OCCASIONAL,YES,Yes,"Nil. The training is very extensive, informative and motivates the trainee to learn. Excellent work from all the staff involved in putting 4AB session. Thank you."
23/05/2026 15:57:15,N/A,20/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,N/A,Simulator scheduling,TECHNICAL,RARE,YES,Yes,N/A
23/05/2026 23:03:39,Sim recurrent a320,21/05/2026,VN-018,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-018,4B,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"- Support documents (for the LOFT) should match each other. For example, MEL items in the OFP and Tech Log should be consistent.
- Reference documents for SIM in Library 2.11 REF-FCD SIM320 should be reviewed to identify which versions are current, and expired documents should be removed.",,ENVIRONMENT,FREQUENT,YES,Yes,
24/05/2026 10:29:01,SATIFIED,31/03/2026,VN-001,3A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,31/03/2026,VN-018,3B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Instructor method is really helpful ,Technical data/FlySmart/Lido mPilot issue,TECHNICAL,RARE,YES,Yes,Nil
24/05/2026 13:28:58,Sim recurrent ,22/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Improved everything,,SOP,FREQUENT,YES,Yes,No
24/05/2026 16:29:42,SIM4AB,23/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,24/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Knowledge, Decision.",,TECHNICAL,RARE,YES,Yes,
24/05/2026 22:59:33,A320/A321 RECURRENT - WINTER 2025 ,03/01/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/01/2026,VN-018,3B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Be more learning, and have more knowlegde",,TECHNICAL,OCCASIONAL,YES,Yes,
25/05/2026 5:39:29,Good,23/05/2026,VN-001,4A,FO,MED,MED,MED,MED,MED,MED,MED,YES,,24/05/2026,VN-001,4B,FO,MED,MED,MED,MED,MED,MED,Nil,Nil,OPERATIONAL,FREQUENT,YES,Nil,Nil
25/05/2026 8:19:15,A320/A321 RECURRENT WINTER 2025 (3A/B),14/04/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,MED,HIGH,YES,,15/04/2026,VN-018,3B,FO,HIGH,HIGH,HIGH,MED,HIGH,HIGH,Instructor method,,OPERATIONAL,RARE,YES,Yes,
25/05/2026 9:00:11,Sim recurrent,21/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,None,ENVIRONMENT,RARE,YES,Yes,None
25/05/2026 9:58:57,Rec 4a,23/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,24/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,.,,ENVIRONMENT,RARE,YES,Yes,.
25/05/2026 22:17:21,4AB,23/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,24/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nothing,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,No
26/05/2026 14:33:58,REC SIM 4A,25/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,26/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Instructor have a good explanation and instruction throughout the training session. I can experience some scenario that help me to understand more about the procedure to consider to apply.,,TECHNICAL,RARE,YES,Yes,
26/05/2026 18:17:08,recurrent training,20/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,nil,Simulator scheduling,OPERATIONAL,RARE,YES,yes it does,nil
26/05/2026 22:55:05,OPC,17/03/2026,VN-018,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/03/2026,VN-018,3B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,All good,,TECHNICAL,RARE,YES,Yes,
27/05/2026 12:39:52,Recurrent simulator,25/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,26/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Some briefing about decisin making, SAW, TEM,…",,ENVIRONMENT,RARE,YES,Yes,"Now, it’s OK"
27/05/2026 19:17:34,A.320/A.321 RECURRENT,03/03/2026,VN-018,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/03/2026,VN-001,3B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Landing technique,No,TECHNICAL,OCCASIONAL,YES,Yes,No comment
28/05/2026 8:38:53,Sim4AB,23/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,24/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Knowledge, decision and comunication.","Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,yes,none
28/05/2026 15:56:41,Session 4A,28/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,28/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,"Scenario unrealistic, Unrealistic timing",TECHNICAL,OCCASIONAL,YES,Yes,
28/05/2026 16:27:57,FFS4A,28/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,28/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"scenario design, handling challenge, instrctor method",too cold in SIM,ATC,RARE,YES,yes,
28/05/2026 16:31:49,FFS4A,27/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,28/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"scenario design, handling challenge, instrctor method","Technical data/FlySmart/Lido mPilot issue, cannot calculate in flight perfomence in flysmart( sim)",ATC,RARE,YES,yes,
28/05/2026 20:51:50,SIM 4B,28/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,27/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,,TECHNICAL,RARE,YES,Yes,No command
29/05/2026 23:22:08,4a,28/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,29/05/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,PDM WLM,,TECHNICAL,OCCASIONAL,YES,Yes,
30/05/2026 5:56:28,Lpc,21/05/2026,VN-036,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/05/2026,VN-036,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Std call out and ops knowledge,,OPERATIONAL,FREQUENT,YES,Yes,
30/05/2026 15:07:52,Sim B787 4AB,17/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,No idea yet
30/05/2026 21:56:17,4AB,05/05/2026,VN-001,4A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,06/05/2026,VN-001,4B,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Scanning skill , keep studying",,TECHNICAL,OCCASIONAL,YES,Yes,
30/05/2026 23:22:03,Sim,29/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,30/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,.,,TECHNICAL,RARE,YES,Yes,Nil
31/05/2026 14:08:53,P,31/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,31/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,Nil
01/06/2026 1:43:04,4AB,30/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,31/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,OPERATIONAL,OCCASIONAL,YES,Yes,Nil
